Database: heroku_1ed5a148e6d9415
Table: black_cards
[16 entries]
+----+--------------------------------------------------------------------------------------------------------------+
| id | content                                                                                                      |
| 53  | Getting blinded by an LX transceiver.                                 |
| 54  | Nigerian princess spam.                                               |
| 55  | chown -R nobody-nobody.                                               |
| 56  | 6 games of Spot the Fed.                                              |
| 57  | An allow any rule.                                                    |
| 58  | Shellshock.                                                           |
| 59  | Jumping the Wireshark.                                                |
| 60  | Script kiddies from Romania.                                          |
| 7   | Venom.                                                                |
| 61  | John McAfee's Lecture circuit in Belize.                              |
| 62  | The futility of hacking a refrigerator video feed.                    |
| 63  | Insufficient caffeine.                                                |
| 64  | A biometric-locked data center you can blind telnet into.             |
| 65  | The TOR network.                                                      |
| 66  | PC versus Mac security wars.                                          |
| 67  | Your security analyst intern selling vulnerabilities for profit.      |
| 68  | The Code Monkey song.                                                 |
| 69  | Bruce Schneier vs. Chuck Norris at Maddison Square Garden.            |
| 70  | Mikko Hypponen's ponytail.                                            |
| 71  | A password cache posted to Pastebin.                                  |
| 72  | An illustrated history of cryptography.                               |
| 73  | Laser-generated random numbers for cryptography.                      |
| 74  | A brute-force attack squad.                                           |
| 75  | An original Cap'n Crunch whistle.                                     |
| 76  | Time traveling phone phreaks from 1986.                               |
| 77  | A 2600 Magazine Letter to the Editor.                                 |
| 78  | Acting lessons at Security Theater.                                   |
| 80  | A thorough TSA body cavity search.                                    |
| 79  | One phish, two phish, red phish, Blowfish.                            |
| 81  | Metasploit. Metasploit. Metasploit. It's just fun to say.             |
| 82  | Old school wardialing with punch cards.                               |
| 83  | It's a Unix system. I know this!                                      |
| 84  | A sentient keystroke logger.                                          |
| 85  | Atari 8 bit encryption.                                               |
| 86  | Security through obscurity.                                           |
| 87  | Illuminati steganography embedded in Wikipedia.                       |
| 88  | A WoW auction hack.                                                   |
| 89  | A playground visit from Cipher the Encryption Marmot.                 |
| 90  | An undocumented feature appears!                                      |
| 91  | The Gospel of Schneier.                                               |
| 92  | A proper Oxford English dictionary attack.                            |
| 93  | An ominous SSID of "Monitoring My Neighbors".                         |
| 94  | A corny security themed music video on YouTube.                       |
| 95  | A vicious slap fight at Defcon.                                       |
| 96  | Biometric authentication using a severed thumb.                       |
| 97  | Wannabes hacking Tumblr.                                              |
| 98  | A Botox SQL injection.                                                |
| 99  | 20M records stolen from the Rock & Roll Hall of Fame.                 |
| 100 | Trojans, botnets and zombies. Oh my!                                  |
| 101 | A politician explaining network security.                             |
| 102 | Being demoted back to the helpdesk.                                   |
| 103 | Using the server room micro-climate as a humidor.                     |
| 104 | Explaining your security job to your mom.                             |
| 105 | Patching your patch the next day.                                     |
| 106 | Spoofing the CDC in an email to get out of work.                      |
| 107 | Stalking someone through Ingress portal takeovers.                    |
| 108 | Doxxing everyone you don't like.                                      |
| 109 | Taking an XP box to BlackHat.                                         |
| 110 | Hacking your partner's home security cameras.                         |
| 111 | Retiring on the proceeds from dating-site scams.                      |
| 112 | Sending emails to all your contacts about the Teddy Bear virus.       |
| 113 | Using the same password for banking, social media, and your work VPN. |
| 114 | Using the Tao of Pooh as a book cypher                                |
| 115 | Citing the first and fourth amendments from memory.                   |
| 116 | Texting while Wardriving.                                             |
| 117 | Hosting a warez BBS on Dad's Apple IIe.                               |
| 118 | Hacking the WOPR with cheese.                                         |
| 119 | DDoSing your kids' Minecraft server.                                  |
| 120 | Actually meeting complexity requirements.                             |
| 121 | Commandeering SETI@home for nefarious purposes.                       |
| 122 | Wardialing a series of tubes.                                         |
| 123 | Borrowing an access card to the server room.                          |
| 124 | Partying with the Feds.                                               |
| 125 | Proxying blacked out sports streams through Antarctica.               |
| 126 | Using PPTP over IPSec encapsulated in SSL.                            |
| 127 | Browsing the Nickelodeon of the Deepweb                               |
| 128 | Using a CAPTCHA flaw to access the IRS mainframe.                     |
| 129 | Port knocking on backdoors.                                           |
| 130 | Rooting the Timex Sinclair.                                           |
| 131 | Exploiting MySpace at a 2004 hack-a-thon event.                       |
| 132 | Port scanning using echolocation.                                     |
| 133 | The surgeon general saying "Always use password protection".          |
+-----+-----------------------------------------------------------------------+
